countrycode,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
TG,1_analytic_mean,9898191,6493,6493,1,1,2678460.75,0.0,11592431.0
TG,1_analytic_mean,9137193,524,524,1,1,2678460.75,0.0,11592431.0
TG,1_analytic_mean,9149020,614,614,1,1,2678460.75,0.0,11592431.0
TG,1_analytic_mean,9167819,762,762,1,1,2678460.75,0.0,11592431.0
TG,1_analytic_mean,9737024,5233,5233,1,1,2678460.75,0.0,11592431.0
TG,1_analytic_mean,10139712,8375,8375,1,1,2678460.75,0.0,11592431.0
TG,1_analytic_mean,10235168,9129,9129,1,1,2678460.75,0.0,11592431.0
TG,1_analytic_mean,9342131,2133,2133,1,1,2666258.0,0.0,12812687.0
TG,1_analytic_mean,9817616,5861,5861,1,1,2666258.0,0.0,10372175.0
TG,1_analytic_mean,9933156,6762,6762,1,1,2666258.0,0.0,10372175.0
TG,1_analytic_mean,10212845,8952,8952,1,1,2641853.5,0.0,12202559.0
TG,1_analytic_mean,9643207,4494,4494,1,1,2641853.5,0.0,10372175.0
TG,1_analytic_mean,9622267,4327,4327,1,1,2641853.5,0.0,10372175.0
TG,1_analytic_mean,10084021,7933,7933,1,1,2641853.5,0.0,10372175.0
TG,1_analytic_mean,9385199,2473,2473,1,1,2635752.0,0.0,14032943.0
TG,1_analytic_mean,9397725,2573,2573,1,1,2611346.75,0.0,10982303.0
TG,1_analytic_mean,9817041,5857,5857,1,1,2611346.75,0.0,10982303.0
TG,1_analytic_mean,9147977,606,606,1,1,2611346.75,0.0,10982303.0
TG,1_analytic_mean,10120355,8221,8221,1,1,2611346.75,0.0,10982303.0
TG,1_analytic_mean,9359127,2267,2267,1,1,2611346.75,0.0,10982303.0
TG,1_analytic_mean,9969172,7046,7046,1,1,2611346.5,0.0,11592431.0
TG,1_analytic_mean,9534191,3634,3634,1,1,2599144.0,0.0,10372175.0
TG,1_analytic_mean,9866902,6247,6247,1,1,2599144.0,0.0,10372175.0
TG,1_analytic_mean,10301732,9649,9649,1,1,2599144.0,0.0,10372175.0
TG,1_analytic_mean,9848128,6099,6099,1,1,2593042.0,0.0,17083582.0
TG,1_analytic_mean,9525705,3567,3567,1,1,2586941.5,0.0,10372175.0
TG,1_analytic_mean,9496470,3339,3339,1,1,2580840.5,0.0,14032943.0
TG,1_analytic_mean,10096681,8033,8033,1,1,2580840.5,0.0,10982303.0
TG,1_analytic_mean,9157211,679,679,1,1,2574739.5,0.0,11592431.0
TG,1_analytic_mean,9435105,2863,2863,1,1,2562537.0,0.0,14032943.0
TG,1_analytic_mean,10323342,9818,9818,1,1,2562537.0,0.0,14032943.0
TG,1_analytic_mean,9179082,852,852,1,1,2562536.25,0.0,16473455.0
TG,1_analytic_mean,9408785,2659,2659,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9492894,3310,3310,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9834663,5995,5995,1,1,2544232.5,0.0,14032943.0
TG,1_analytic_mean,9852194,6133,6133,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,10182734,8713,8713,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9613643,4261,4261,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9769879,5492,5492,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,10099186,8054,8054,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,10135483,8341,8341,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9098281,218,218,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9158113,686,686,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9854841,6153,6153,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,10292291,9577,9577,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9177050,837,837,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9429631,2822,2822,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9603365,4181,4181,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,10077729,7884,7884,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9160177,702,702,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9196746,992,992,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9334620,2075,2075,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9634052,4421,4421,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9682266,4802,4802,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9856270,6165,6165,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9880187,6351,6351,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,10186604,8744,8744,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,10204068,8883,8883,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,9143889,575,575,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,10103473,8089,8089,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,10109343,8135,8135,1,1,2544232.5,0.0,14032943.0
TG,1_analytic_mean,10211872,8945,8945,1,1,2544232.5,0.0,10982303.0
TG,1_analytic_mean,10032760,7536,7536,1,1,2532030.0,0.0,9762047.0
TG,1_analytic_mean,9424205,2779,2779,1,1,2532030.0,0.0,9762047.0
TG,1_analytic_mean,10237637,9148,9148,1,1,2532029.5,0.0,15863327.0
TG,1_analytic_mean,10198614,8840,8840,1,1,2525929.0,0.0,10372175.0
TG,1_analytic_mean,9871841,6285,6285,1,1,2519827.5,0.0,13422815.0
TG,1_analytic_mean,9693917,4895,4895,1,1,2513726.5,0.0,6711407.0
TG,1_analytic_mean,10206643,8903,8903,1,1,2507625.25,0.0,10982303.0
TG,1_analytic_mean,9373428,2381,2381,1,1,2507625.25,0.0,10372175.0
TG,1_analytic_mean,9272527,1584,1584,1,1,2507625.25,0.0,10372175.0
TG,1_analytic_mean,9494340,3321,3321,1,1,2507625.25,0.0,10372175.0
TG,1_analytic_mean,9717835,5080,5080,1,1,2507625.25,0.0,10372175.0
TG,1_analytic_mean,9187244,917,917,1,1,2495422.5,0.0,13422815.0
TG,1_analytic_mean,10213132,8954,8954,1,1,2495422.5,0.0,14032943.0
TG,1_analytic_mean,9566065,3884,3884,1,1,2495422.5,0.0,12202559.0
TG,1_analytic_mean,9974615,7087,7087,1,1,2495422.5,0.0,12812687.0
TG,1_analytic_mean,9694753,4901,4901,1,1,2495422.5,0.0,13422815.0
TG,1_analytic_mean,9155719,666,666,1,1,2495422.5,0.0,11592431.0
TG,1_analytic_mean,9965806,7019,7019,1,1,2495422.5,0.0,12202559.0
TG,1_analytic_mean,9553537,3784,3784,1,1,2483219.5,0.0,12202559.0
TG,1_analytic_mean,10196696,8825,8825,1,1,2483219.5,0.0,12202559.0
TG,1_analytic_mean,9582494,4013,4013,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9594900,4111,4111,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9325383,2003,2003,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9337715,2099,2099,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9487453,3265,3265,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9739623,5255,5255,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9853557,6143,6143,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,10051199,7681,7681,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9596074,4121,4121,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9602396,4173,4173,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9717368,5077,5077,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9945386,6857,6857,1,1,2477118.5,0.0,9762047.0
TG,1_analytic_mean,9184357,894,894,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9664028,4656,4656,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9407817,2651,2651,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9455845,3023,3023,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,9665677,4670,4670,1,1,2477118.5,0.0,10372175.0
TG,1_analytic_mean,10068973,7818,7818,1,1,2471017.25,0.0,11592431.0
TG,1_analytic_mean,9310091,1880,1880,1,1,2471017.0,0.0,14032943.0
TG,1_analytic_mean,10068118,7812,7812,1,1,2452713.5,0.0,9762047.0
TG,1_analytic_mean,10309792,9711,9711,1,1,2452713.5,0.0,9762047.0
TG,1_analytic_mean,9410520,2671,2671,1,1,2452713.5,0.0,9762047.0
TG,1_analytic_mean,10237794,9149,9149,1,1,2452713.0,0.0,13422815.0
TG,1_analytic_mean,10237963,9150,9150,1,1,2446612.5,0.0,6101279.0
TG,1_analytic_mean,9632637,4409,4409,1,1,2446612.5,0.0,6101279.0
TG,1_analytic_mean,9929203,6731,6731,1,1,2446612.5,0.0,6101279.0
TG,1_analytic_mean,9246105,1378,1378,1,1,2428308.75,0.0,11592431.0
TG,1_analytic_mean,9356916,2249,2249,1,1,2428308.5,0.0,12202559.0
TG,1_analytic_mean,10000995,7286,7286,1,1,2428308.5,0.0,11592431.0
TG,1_analytic_mean,10145136,8419,8419,1,1,2428308.5,0.0,11592431.0
TG,1_analytic_mean,9667734,4686,4686,1,1,2428308.0,0.0,13422815.0
TG,1_analytic_mean,9619686,4307,4307,1,1,2410004.5,0.0,9762047.0
TG,1_analytic_mean,9753584,5365,5365,1,1,2410004.5,0.0,9762047.0
TG,1_analytic_mean,9419647,2745,2745,1,1,2410004.0,0.0,14032943.0
TG,1_analytic_mean,9132069,483,483,1,1,2397801.75,0.0,10982303.0
TG,1_analytic_mean,9546910,3732,3732,1,1,2397801.75,0.0,10982303.0
TG,1_analytic_mean,9688291,4850,4850,1,1,2397801.75,0.0,10982303.0
TG,1_analytic_mean,9395583,2556,2556,1,1,2397801.75,0.0,10982303.0
TG,1_analytic_mean,9138406,533,533,1,1,2391701.0,0.0,10372175.0
TG,1_analytic_mean,10341370,9960,9960,1,1,2385599.0,0.0,12202559.0
TG,1_analytic_mean,9533506,3630,3630,1,1,2379498.5,0.0,14643071.0
TG,1_analytic_mean,9752827,5359,5359,1,1,2379497.75,0.0,16473455.0
TG,1_analytic_mean,10345175,9988,9988,1,1,2373397.0,0.0,6101279.0
TG,1_analytic_mean,10031513,7526,7526,1,1,2373397.0,0.0,6101279.0
TG,1_analytic_mean,9138644,535,535,1,1,2367296.0,0.0,10982303.0
TG,1_analytic_mean,10153369,8485,8485,1,1,2367296.0,0.0,9151919.0
TG,1_analytic_mean,9386566,2484,2484,1,1,2367296.0,0.0,9151919.0
TG,1_analytic_mean,9920921,6670,6670,1,1,2367296.0,0.0,9151919.0
TG,1_analytic_mean,9600388,4157,4157,1,1,2361194.5,0.0,12202559.0
TG,1_analytic_mean,9798459,5712,5712,1,1,2361194.5,0.0,12202559.0
TG,1_analytic_mean,9499394,3361,3361,1,1,2361194.5,0.0,12202559.0
TG,1_analytic_mean,9589711,4069,4069,1,1,2361194.5,0.0,11592431.0
TG,1_analytic_mean,10053113,7696,7696,1,1,2361194.5,0.0,12202559.0
TG,1_analytic_mean,9221322,1183,1183,1,1,2361194.5,0.0,12202559.0
TG,1_analytic_mean,9133149,491,491,1,1,2361194.0,0.0,13422815.0
TG,1_analytic_mean,10134520,8333,8333,1,1,2348992.0,0.0,11592431.0
TG,1_analytic_mean,9997406,7260,7260,1,1,2348991.5,0.0,15253199.0
TG,1_analytic_mean,10064593,7786,7786,1,1,2342890.5,0.0,9762047.0
TG,1_analytic_mean,9306569,1853,1853,1,1,2330687.75,0.0,10372175.0
