geogname1,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
Maritime,2_sample_mean,10056922,7726,7726,1,1,5716897.5,,15253199.0
Maritime,2_sample_mean,9113106,332,332,1,1,5716897.5,,15253199.0
Plateaux,2_sample_mean,9202269,1034,1034,1,1,5704696.0,,12202559.0
Plateaux,2_sample_mean,9874262,6304,6304,1,1,5704693.5,,17693710.0
Maritime,2_sample_mean,9981465,7139,7139,1,1,5704693.0,,32336782.0
Plateaux,2_sample_mean,10176121,8660,8660,1,1,5698593.5,,10372175.0
Plateaux,2_sample_mean,9131042,475,475,1,1,5698593.5,,10372175.0
Savanes,2_sample_mean,9704084,4973,4973,1,1,5698593.0,,24405118.0
Kara,2_sample_mean,10116976,8195,8195,1,1,5680290.0,,12812687.0
Kara,2_sample_mean,10279985,9479,9479,1,1,5680290.0,,12812687.0
Kara,2_sample_mean,9753419,5364,5364,1,1,5680290.0,,12812687.0
Kara,2_sample_mean,10168436,8599,8599,1,1,5680290.0,,12812687.0
Kara,2_sample_mean,9917687,6645,6645,1,1,5680290.0,,12812687.0
Kara,2_sample_mean,10268397,9389,9389,1,1,5674189.0,,13422815.0
Kara,2_sample_mean,9615769,4277,4277,1,1,5674189.0,,13422815.0
Kara,2_sample_mean,9209049,1086,1086,1,1,5674189.0,,13422815.0
Centrale,2_sample_mean,10020570,7442,7442,1,1,5674188.0,,24405118.0
Plateaux,2_sample_mean,9615629,4276,4276,1,1,5674188.0,,17693710.0
Maritime,2_sample_mean,9376403,2405,2405,1,1,5674186.0,,34167164.0
Kara,2_sample_mean,9449420,2973,2973,1,1,5668088.0,,14032943.0
Plateaux,2_sample_mean,10107576,8121,8121,1,1,5668086.5,,16473455.0
Centrale,2_sample_mean,10135855,8344,8344,1,1,5668086.0,,23794990.0
Plateaux,2_sample_mean,9267488,1544,1544,1,1,5668085.5,,18913966.0
Maritime,2_sample_mean,9420202,2749,2749,1,1,5661985.5,,15863327.0
Maritime,2_sample_mean,9639851,4468,4468,1,1,5661985.5,,15863327.0
Maritime,2_sample_mean,9987843,7187,7187,1,1,5661985.5,,15863327.0
