countrycode,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
CI,1_analytic_mean,27714,13,1991,1,1,100552.56,0,615000.38
CI,1_analytic_mean,27723,13,1991,1,1,234473744,0,546862656
CI,1_analytic_mean,27848,14,1992,1,1,34132.52,0,153750.09
CI,1_analytic_mean,27860,14,1992,1,1,232470.09,0,2152500.5
CI,1_analytic_mean,27862,14,1992,1,1,33210.02,0,307500.22
CI,1_analytic_mean,27868,14,1992,1,1,219555.09,0,1537500.38
CI,1_analytic_mean,27891,14,1992,1,1,224578400,0,359929408
CI,1_analytic_mean,27899,14,1992,1,1,8761291,0,52429216
CI,1_analytic_mean,27974,14,1992,1,1,83947.55,0,461250.34
CI,1_analytic_mean,27983,14,1992,1,1,16605.01,0,153750.09
CI,1_analytic_mean,28017,15,1993,1,1,33210.02,0,307500.22
CI,1_analytic_mean,28020,15,1993,1,1,189420.09,0,1076250.38
CI,1_analytic_mean,28023,15,1993,1,1,745072.88,0,2767500.5
CI,1_analytic_mean,28096,15,1993,1,1,571335.25,0,1537500.38
CI,1_analytic_mean,28103,15,1993,1,1,188665696,0,264002208
CI,1_analytic_mean,28175,16,1994,1,1,77121616,0,147452128
CI,1_analytic_mean,28328,17,1995,1,1,568567.75,0,2613750.5
CI,1_analytic_mean,28396,18,1996,1,1,903435.25,0,4305000.5
CI,1_analytic_mean,28403,18,1996,1,1,1893585.25,0,8456251
CI,1_analytic_mean,28404,18,1996,1,1,315495.09,0,2921250.5
CI,1_analytic_mean,28438,18,1996,1,1,321030.12,0,1845000.38
CI,1_analytic_mean,28445,18,1996,1,1,16605.01,0,153750.09
CI,1_analytic_mean,28467,18,1996,1,1,99630.07,0,922500.38
CI,1_analytic_mean,28493,18,1996,1,1,33210.02,0,307500.22
CI,1_analytic_mean,28501,18,1996,1,1,14135169,0,33825224
CI,1_analytic_mean,28507,18,1996,1,1,151290.11,0,922500.38
CI,1_analytic_mean,28518,19,1997,1,1,169740.09,0,1076250.38
CI,1_analytic_mean,28519,19,1997,1,1,116235.09,0,1076250.38
CI,1_analytic_mean,28543,19,1997,1,1,123000.08,0,461250.34
CI,1_analytic_mean,28557,19,1997,1,1,1335472.75,0,7072500.5
CI,1_analytic_mean,28568,19,1997,1,1,591630.12,0,4458750.5
CI,1_analytic_mean,28582,19,1997,1,1,860692.69,0,5842500.5
CI,1_analytic_mean,28658,19,1997,1,1,1567020.38,0,5381250.5
CI,1_analytic_mean,28670,20,1998,1,1,253687.66,0,1691250.38
CI,1_analytic_mean,28674,20,1998,1,1,428040.19,0,1998750.38
CI,1_analytic_mean,28675,20,1998,1,1,182655.09,0,1691250.38
CI,1_analytic_mean,28680,20,1998,1,1,16605.01,0,153750.09
CI,1_analytic_mean,28687,20,1998,1,1,10331879,0,44280360
CI,1_analytic_mean,28690,20,1998,1,1,66420.04,0,615000.38
CI,1_analytic_mean,28699,20,1998,1,1,8538889,0,39514048
CI,1_analytic_mean,28708,20,1998,1,1,6009165.5,0,23370086
CI,1_analytic_mean,28722,20,1998,1,1,9110927,0,19065030
CI,1_analytic_mean,28752,20,1998,1,1,16605.01,0,153750.09
CI,1_analytic_mean,28755,20,1998,1,1,674962.88,0,3382500.5
CI,1_analytic_mean,28764,20,1998,1,1,732465.31,0,2921250.5
CI,1_analytic_mean,28816,21,1999,1,1,33210.02,0,307500.22
CI,1_analytic_mean,28866,21,1999,1,1,728467.88,0,2767500.5
CI,1_analytic_mean,28910,22,2000,1,1,16605.01,0,153750.09
