geogname1,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
Lacs,1_analytic_mean,26819,6,1984,1,1,783202.69,0,4305000.5
Lagunes,1_analytic_mean,26819,6,1984,1,1,32894510,0,74877408
District Autonome d'Abidjan,1_analytic_mean,26819,6,1984,1,1,15418992,0,59809312
Comoé,1_analytic_mean,26819,6,1984,1,1,1309028,0,4920000.5
Valleé du Bandama,1_analytic_mean,26819,6,1984,1,1,1436332.75,0,6457500.5
Woroba,1_analytic_mean,26819,6,1984,1,1,188190.12,0,615000.38
Bas-Sassandra,1_analytic_mean,26824,6,1984,1,1,1937557.75,0,6918750.5
Savanes,1_analytic_mean,26830,6,1984,1,1,83025.05,0,768750.38
Denguele,1_analytic_mean,26830,6,1984,1,1,66420.04,0,615000.38
Sassandra-Marahoué,1_analytic_mean,26836,6,1984,1,1,1375755.25,0,7072500.5
Lacs,1_analytic_mean,26837,6,1984,1,1,49815.03,0,461250.34
District Autonome de Yamoussoukro,1_analytic_mean,26837,6,1984,1,1,16605.01,0,153750.09
Valleé du Bandama,1_analytic_mean,26837,6,1984,1,1,49815.03,0,461250.34
Zanzan,1_analytic_mean,26853,6,1984,1,1,33210.02,0,307500.22
Zanzan,1_analytic_mean,26854,6,1984,1,1,442185.19,0,2460000.5
Bas-Sassandra,1_analytic_mean,26858,6,1984,1,1,868072.94,0,1845000.38
Montagnes,1_analytic_mean,26858,6,1984,1,1,3844980.5,0,7533750.5
Sassandra-Marahoué,1_analytic_mean,26858,6,1984,1,1,2114370.75,0,3690000.5
0,1_analytic_mean,26858,6,1984,1,1,70110.04,0,153750.09
Bas-Sassandra,1_analytic_mean,26861,6,1984,1,1,9670569,0,21678814
Gôh-Djiboua,1_analytic_mean,26861,6,1984,1,1,21101652,0,53966736
Montagnes,1_analytic_mean,26861,6,1984,1,1,638370.12,0,4612500.5
Sassandra-Marahoué,1_analytic_mean,26861,6,1984,1,1,4189688,0,12761251
