countrycode,sidx,return_period,loss
MW,Sample1,2,1860.16626
MW,Sample1,5,21639.960938
MW,Sample1,10,43718.125
MW,Sample1,15,55711.988281
MW,Sample1,20,62615.988281
MW,Sample1,50,84010.5
MW,Sample1,75,92133.007812
MW,Sample1,100,96446.554688
MW,Sample1,200,106377.507812
MW,Sample1,250,109282.34375
MW,Sample1,500,115985.984375
MW,Sample1,750,122395.023438
MW,Sample1,1000,125880.796875
