countrycode,sidx,return_period,loss
MW,Sample1,2,6469.749023
MW,Sample1,5,49561.0
MW,Sample1,10,93191.296875
MW,Sample1,15,115607.375
MW,Sample1,20,130995.289062
MW,Sample1,50,168964.515625
MW,Sample1,75,184954.71875
MW,Sample1,100,191710.640625
MW,Sample1,200,214618.875
MW,Sample1,250,219464.671875
MW,Sample1,500,243019.171875
MW,Sample1,750,253071.96875
MW,Sample1,1000,257551.71875
