geogname1,type,loss,standard_deviation,exposure_value
Diana,1_analytic_mean,2107.732237,6775.661226,67408.273438
Sava,1_analytic_mean,11718.474315,30824.548926,442299.46875
Sofia,1_analytic_mean,8762.500881,22801.441702,183393.921875
Boeny,1_analytic_mean,4753.687863,14395.169983,87308.898438
Analanjirofo,1_analytic_mean,9425.369855,22455.577404,186833.578125
Melaky,1_analytic_mean,856.375438,1992.912641,11180.730469
Alaotra Mangoro,1_analytic_mean,4303.108446,11360.033255,101635.164062
Betsiboka,1_analytic_mean,2224.69015,6051.083268,34964.898438
Menabe,1_analytic_mean,2791.118383,7148.662199,42775.230469
Bongolava,1_analytic_mean,148.105513,396.463366,2980.324951
Analamanga,1_analytic_mean,7051.821409,23402.578147,169866.9375
Atsinanana,1_analytic_mean,9552.758328,24019.68793,179023.234375
Itasy,1_analytic_mean,228.794997,713.366956,5042.884277
Vakinankaratra,1_analytic_mean,910.973307,2761.657558,26782.175781
Amoron'i Mania,1_analytic_mean,501.468158,1528.215925,13113.733398
Vatovavy Fitovinany,1_analytic_mean,6709.998554,17909.774429,139947.140625
Atsimo Andrefana,1_analytic_mean,3035.354663,8651.144118,80066.039062
Haute Matsiatra,1_analytic_mean,601.168752,1677.413743,18939.591797
Ihorombe,1_analytic_mean,597.487874,1684.005771,13432.865234
Anosy,1_analytic_mean,882.38832,2232.856848,27502.892578
Atsimo Atsinanana,1_analytic_mean,1567.937953,3633.284279,38401.542969
Androy,1_analytic_mean,412.616439,1194.055006,18971.970703
Diana,2_sample_mean,2107.732237,6775.661226,67408.273438
Sava,2_sample_mean,11718.474315,30824.548926,442299.46875
Sofia,2_sample_mean,8762.500881,22801.441702,183393.921875
Boeny,2_sample_mean,4753.687863,14395.169983,87308.898438
Analanjirofo,2_sample_mean,9425.369855,22455.577404,186833.578125
Melaky,2_sample_mean,856.375438,1992.912641,11180.730469
Alaotra Mangoro,2_sample_mean,4303.108446,11360.033255,101635.164062
Betsiboka,2_sample_mean,2224.69015,6051.083268,34964.898438
Menabe,2_sample_mean,2791.118383,7148.662199,42775.230469
Bongolava,2_sample_mean,148.105513,396.463366,2980.324951
Analamanga,2_sample_mean,7051.821409,23402.578147,169866.9375
Atsinanana,2_sample_mean,9552.758328,24019.68793,179023.234375
Itasy,2_sample_mean,228.794997,713.366956,5042.884277
Vakinankaratra,2_sample_mean,910.973307,2761.657558,26782.175781
Amoron'i Mania,2_sample_mean,501.468158,1528.215925,13113.733398
Vatovavy Fitovinany,2_sample_mean,6709.998554,17909.774429,139947.140625
Atsimo Andrefana,2_sample_mean,3035.354663,8651.144118,80066.039062
Haute Matsiatra,2_sample_mean,601.168752,1677.413743,18939.591797
Ihorombe,2_sample_mean,597.487874,1684.005771,13432.865234
Anosy,2_sample_mean,882.38832,2232.856848,27502.892578
Atsimo Atsinanana,2_sample_mean,1567.937953,3633.284279,38401.542969
Androy,2_sample_mean,412.616439,1194.055006,18971.970703
