geogname1,sidx,return_period,loss
Boeny,Sample1,15,17835.591797
Boeny,Sample1,20,22346.925781
Boeny,Sample1,50,44418.894531
Boeny,Sample1,75,52912.296875
Boeny,Sample1,100,55740.261719
Boeny,Sample1,200,65582.640625
Boeny,Sample1,250,67314.46875
Boeny,Sample1,500,80913.515625
Boeny,Sample1,750,88121.484375
Boeny,Sample1,1000,90655.59375
Bongolava,Sample1,2,0.0
Bongolava,Sample1,5,69.831993
Bongolava,Sample1,10,384.075867
Bongolava,Sample1,15,603.547913
Bongolava,Sample1,20,770.645752
Bongolava,Sample1,50,1261.964355
Bongolava,Sample1,75,1453.167603
Bongolava,Sample1,100,1571.22168
Bongolava,Sample1,200,1803.164429
Bongolava,Sample1,250,1885.463989
Bongolava,Sample1,500,2060.045654
Bongolava,Sample1,750,2199.958496
Bongolava,Sample1,1000,2364.313477
Diana,Sample1,2,0.0
Diana,Sample1,5,556.161926
Diana,Sample1,10,2765.901123
Diana,Sample1,15,5721.270508
Diana,Sample1,20,7683.030273
Diana,Sample1,50,16849.609375
Diana,Sample1,75,21271.40625
Diana,Sample1,100,23274.128906
Diana,Sample1,200,27399.845703
Diana,Sample1,250,29177.478516
Diana,Sample1,500,36569.761719
Diana,Sample1,750,38946.628906
Diana,Sample1,1000,40115.875
Haute Matsiatra,Sample1,2,0.0
Haute Matsiatra,Sample1,5,276.834015
Haute Matsiatra,Sample1,10,1209.591431
Haute Matsiatra,Sample1,15,2386.61792
Haute Matsiatra,Sample1,20,3081.53418
Haute Matsiatra,Sample1,50,4792.776855
Haute Matsiatra,Sample1,75,5424.536133
Haute Matsiatra,Sample1,100,5781.097656
Haute Matsiatra,Sample1,200,6551.569824
Haute Matsiatra,Sample1,250,6935.884766
Haute Matsiatra,Sample1,500,8799.605469
Haute Matsiatra,Sample1,750,9916.210938
Haute Matsiatra,Sample1,1000,11576.884766
Ihorombe,Sample1,2,0.0
Ihorombe,Sample1,5,266.858002
Ihorombe,Sample1,10,1117.312012
Ihorombe,Sample1,15,2385.924561
Ihorombe,Sample1,20,3199.794922
Ihorombe,Sample1,50,5843.437988
Ihorombe,Sample1,75,6548.394531
Ihorombe,Sample1,100,6888.4375
Ihorombe,Sample1,200,7788.766602
Ihorombe,Sample1,250,7993.260254
Ihorombe,Sample1,500,8724.022461
Ihorombe,Sample1,750,9426.470703
Ihorombe,Sample1,1000,9911.194336
Itasy,Sample1,2,0.0
Itasy,Sample1,5,7.482
Itasy,Sample1,10,364.124054
Itasy,Sample1,15,1050.804688
Itasy,Sample1,20,1593.667358
Itasy,Sample1,50,2284.503662
Itasy,Sample1,75,2536.396729
Itasy,Sample1,100,2643.638184
Itasy,Sample1,200,3045.173096
Itasy,Sample1,250,3097.547607
Itasy,Sample1,500,3369.389648
Itasy,Sample1,750,3548.460693
Itasy,Sample1,1000,3601.331299
Melaky,Sample1,2,0.0
Melaky,Sample1,5,361.629883
Melaky,Sample1,10,2137.359863
Melaky,Sample1,15,3050.165283
Melaky,Sample1,20,3696.111084
Melaky,Sample1,50,4850.833496
Melaky,Sample1,75,5376.205566
Melaky,Sample1,100,5753.665039
Melaky,Sample1,200,6599.109863
Melaky,Sample1,250,6841.026367
Melaky,Sample1,500,7833.635742
Melaky,Sample1,750,8346.913086
Melaky,Sample1,1000,8634.212891
Menabe,Sample1,2,0.0
Menabe,Sample1,5,1705.899292
Menabe,Sample1,10,8933.511719
Menabe,Sample1,15,14181.754883
Menabe,Sample1,20,15949.181641
Menabe,Sample1,50,25872.835938
Menabe,Sample1,75,29516.460938
Menabe,Sample1,100,31050.427734
Menabe,Sample1,200,34035.773438
Menabe,Sample1,250,34941.148438
Menabe,Sample1,500,35811.515625
Menabe,Sample1,750,36993.238281
Menabe,Sample1,1000,38477.695312
Sava,Sample1,2,0.0
Sava,Sample1,5,7604.205078
Sava,Sample1,10,24368.376953
Sava,Sample1,15,37193.054688
Sava,Sample1,20,45233.574219
Sava,Sample1,50,73593.953125
Sava,Sample1,75,97579.453125
Sava,Sample1,100,108988.742188
Sava,Sample1,200,137341.40625
Sava,Sample1,250,144923.046875
Sava,Sample1,500,178403.71875
Sava,Sample1,750,210570.328125
Sava,Sample1,1000,221011.21875
Sofia,Sample1,2,319.232025
Sofia,Sample1,5,5516.723145
Sofia,Sample1,10,13916.614258
Sofia,Sample1,15,22032.314453
Sofia,Sample1,20,30537.044922
Sofia,Sample1,50,64560.214844
Sofia,Sample1,75,76689.945312
Sofia,Sample1,100,84775.40625
Sofia,Sample1,200,100386.460938
Sofia,Sample1,250,103296.546875
Sofia,Sample1,500,112562.5625
Sofia,Sample1,750,116710.140625
Sofia,Sample1,1000,119073.75
Vakinankaratra,Sample1,2,0.0
Vakinankaratra,Sample1,5,271.8461
Vakinankaratra,Sample1,10,1481.437866
Vakinankaratra,Sample1,15,3188.2146
Vakinankaratra,Sample1,20,4173.322754
Vakinankaratra,Sample1,50,8118.84668
Vakinankaratra,Sample1,75,9988.258789
Vakinankaratra,Sample1,100,10957.50293
Vakinankaratra,Sample1,200,12847.887695
Vakinankaratra,Sample1,250,13243.982422
Vakinankaratra,Sample1,500,14625.44043
Vakinankaratra,Sample1,750,15265.797852
Vakinankaratra,Sample1,1000,15609.693359
Vatovavy Fitovinany,Sample1,2,0.0
Vatovavy Fitovinany,Sample1,5,4429.338867
Vatovavy Fitovinany,Sample1,10,16964.371094
Vatovavy Fitovinany,Sample1,15,24151.341797
Vatovavy Fitovinany,Sample1,20,29544.3125
Vatovavy Fitovinany,Sample1,50,49564.121094
Vatovavy Fitovinany,Sample1,75,59156.753906
Vatovavy Fitovinany,Sample1,100,66720.539062
Vatovavy Fitovinany,Sample1,200,83299.867188
Vatovavy Fitovinany,Sample1,250,86633.6875
Vatovavy Fitovinany,Sample1,500,102192.890625
Vatovavy Fitovinany,Sample1,750,106578.867188
Vatovavy Fitovinany,Sample1,1000,114379.546875
