countrycode,sidx,return_period,loss
MG,Sample1,2,32734.748047
MG,Sample1,5,96444.398438
MG,Sample1,10,183027.96875
MG,Sample1,15,264224.75
MG,Sample1,20,315803.90625
MG,Sample1,50,426371.40625
MG,Sample1,75,473032.28125
MG,Sample1,100,507338.6875
MG,Sample1,200,565309.75
MG,Sample1,250,585596.75
MG,Sample1,500,683499.75
MG,Sample1,750,695898.6875
MG,Sample1,1000,721325.6875
