countrycode,sidx,return_period,loss
MG,Sample1,2,39889.792969
MG,Sample1,5,111962.320312
MG,Sample1,10,205400.0
MG,Sample1,15,292099.28125
MG,Sample1,20,348258.53125
MG,Sample1,50,477821.84375
MG,Sample1,75,528934.8125
MG,Sample1,100,566056.0
MG,Sample1,200,641408.0625
MG,Sample1,250,660178.375
MG,Sample1,500,750130.3125
MG,Sample1,750,772727.3125
MG,Sample1,1000,811543.0
