countrycode,sidx,return_period,loss
MG,Sample1,2,26329.21875
MG,Sample1,5,75335.460938
MG,Sample1,10,145120.53125
MG,Sample1,15,205222.703125
MG,Sample1,20,239694.640625
MG,Sample1,50,322116.40625
MG,Sample1,75,359826.65625
MG,Sample1,100,381859.03125
MG,Sample1,200,434147.21875
MG,Sample1,250,448217.4375
MG,Sample1,500,506147.78125
MG,Sample1,750,524745.625
MG,Sample1,1000,535004.0625
