countrycode,sidx,return_period,loss
CI,Sample1,2,16607.433594
CI,Sample1,5,114575.25
CI,Sample1,10,189719.546875
CI,Sample1,15,234148.171875
CI,Sample1,20,279540.0625
CI,Sample1,50,432283.3125
CI,Sample1,75,460584.34375
CI,Sample1,100,476488.125
CI,Sample1,200,511764.0
CI,Sample1,250,520465.25
CI,Sample1,500,555079.9375
CI,Sample1,750,588202.375
CI,Sample1,1000,647836.5
