geogname1,type,loss,standard_deviation,exposure_value
Denguélé,1_analytic_mean,559.730888,1207.017872,11490.841797
Comoé,1_analytic_mean,13093.442046,26329.226413,202187.984375
Savanes,1_analytic_mean,5802.748795,11105.431597,147254.671875
Vallée du Bandama,1_analytic_mean,4500.003311,9205.749767,68246.429688
Woroba,1_analytic_mean,2840.737545,5524.493769,44741.578125
Zanzan,1_analytic_mean,3741.45196,6321.951163,46405.261719
Montagnes,1_analytic_mean,12751.660802,27946.208573,208341.34375
Sassandra-Marahoué,1_analytic_mean,8063.462325,18387.451096,199892.34375
Lacs,1_analytic_mean,6768.496875,11283.18402,68794.710938
Bas-Sassandra,1_analytic_mean,19310.5374,50013.027244,310742.21875
Autonome de Yamoussoukro,1_analytic_mean,714.819519,2102.494786,46867.941406
Gôh-Djiboua,1_analytic_mean,2890.11012,8197.055666,107714.15625
Lagunes,1_analytic_mean,11688.600831,24525.443727,92792.265625
Autonome d' Abidjan,1_analytic_mean,17460.537081,49564.381709,667165.4375
Denguélé,2_sample_mean,559.730888,1207.017872,11490.841797
Comoé,2_sample_mean,13093.442046,26329.226413,202187.984375
Savanes,2_sample_mean,5802.748795,11105.431597,147254.671875
Vallée du Bandama,2_sample_mean,4500.003311,9205.749767,68246.429688
Woroba,2_sample_mean,2840.737545,5524.493769,44741.578125
Zanzan,2_sample_mean,3741.45196,6321.951163,46405.261719
Montagnes,2_sample_mean,12751.660802,27946.208573,208341.34375
Sassandra-Marahoué,2_sample_mean,8063.462325,18387.451096,199892.34375
Lacs,2_sample_mean,6768.496875,11283.18402,68794.710938
Bas-Sassandra,2_sample_mean,19310.5374,50013.027244,310742.21875
Autonome de Yamoussoukro,2_sample_mean,714.819519,2102.494786,46867.941406
Gôh-Djiboua,2_sample_mean,2890.11012,8197.055666,107714.15625
Lagunes,2_sample_mean,11688.600831,24525.443727,92792.265625
Autonome d' Abidjan,2_sample_mean,17460.537081,49564.381709,667165.4375
