countrycode,sidx,return_period,loss
CI,Sample1,2,46741.738281
CI,Sample1,5,168282.921875
CI,Sample1,10,307717.625
CI,Sample1,15,393048.90625
CI,Sample1,20,450071.0
CI,Sample1,50,639415.0625
CI,Sample1,75,681690.6875
CI,Sample1,100,706545.9375
CI,Sample1,200,761345.5625
CI,Sample1,250,776247.4375
CI,Sample1,500,827375.3125
CI,Sample1,750,900617.6875
CI,Sample1,1000,1012579.25
