geogname1,sidx,return_period,loss
Sassandra-Marahoué,Sample1,1000,87862.734375
Savanes,Sample1,2,113.832001
Savanes,Sample1,5,2143.834473
Savanes,Sample1,10,8341.382812
Savanes,Sample1,15,11958.75
Savanes,Sample1,20,14489.226562
Savanes,Sample1,50,20232.410156
Savanes,Sample1,75,22884.126953
Savanes,Sample1,100,25296.326172
Savanes,Sample1,200,33347.933594
Savanes,Sample1,250,38600.585938
Savanes,Sample1,500,55467.238281
Savanes,Sample1,750,58980.804688
Savanes,Sample1,1000,61866.144531
Vallée du Bandama,Sample1,2,41.105999
Vallée du Bandama,Sample1,5,2197.5896
Vallée du Bandama,Sample1,10,5445.776367
Vallée du Bandama,Sample1,15,7551.601074
Vallée du Bandama,Sample1,20,9217.820312
Vallée du Bandama,Sample1,50,14247.398438
Vallée du Bandama,Sample1,75,16734.539062
Vallée du Bandama,Sample1,100,18269.681641
Vallée du Bandama,Sample1,200,21570.958984
Vallée du Bandama,Sample1,250,22401.228516
Vallée du Bandama,Sample1,500,25239.378906
Vallée du Bandama,Sample1,750,26920.542969
Vallée du Bandama,Sample1,1000,27294.123047
Woroba,Sample1,2,91.698006
Woroba,Sample1,5,1169.939575
Woroba,Sample1,10,3845.001465
Woroba,Sample1,15,4749.333008
Woroba,Sample1,20,5565.147461
Woroba,Sample1,50,10608.585938
Woroba,Sample1,75,12504.741211
Woroba,Sample1,100,13754.828125
Woroba,Sample1,200,16354.004883
Woroba,Sample1,250,16853.580078
Woroba,Sample1,500,18975.359375
Woroba,Sample1,750,21497.857422
Woroba,Sample1,1000,23155.578125
Zanzan,Sample1,2,25.296001
Zanzan,Sample1,5,2580.189697
Zanzan,Sample1,10,4796.760254
Zanzan,Sample1,15,7171.862793
Zanzan,Sample1,20,8037.260742
Zanzan,Sample1,50,18761.025391
Zanzan,Sample1,75,20330.28125
Zanzan,Sample1,100,21010.716797
Zanzan,Sample1,200,22531.535156
Zanzan,Sample1,250,23181.111328
Zanzan,Sample1,500,24626.15625
Zanzan,Sample1,750,25855.730469
Zanzan,Sample1,1000,26200.845703
