geogname1,sidx,return_period,loss
Autonome d' Abidjan,Sample1,2,9.486
Autonome d' Abidjan,Sample1,5,531.960022
Autonome d' Abidjan,Sample1,10,101840.695312
Autonome d' Abidjan,Sample1,15,102004.0
Autonome d' Abidjan,Sample1,20,123140.007812
Autonome d' Abidjan,Sample1,50,175247.625
Autonome d' Abidjan,Sample1,75,176628.109375
Autonome d' Abidjan,Sample1,100,219510.34375
Autonome d' Abidjan,Sample1,200,232381.421875
Autonome d' Abidjan,Sample1,250,237592.5625
Autonome d' Abidjan,Sample1,500,388133.71875
Autonome d' Abidjan,Sample1,750,388159.9375
Autonome d' Abidjan,Sample1,1000,666979.5
Autonome de Yamoussoukro,Sample1,2,0.0
Autonome de Yamoussoukro,Sample1,5,803.147949
Autonome de Yamoussoukro,Sample1,10,2303.300049
Autonome de Yamoussoukro,Sample1,15,3510.871826
Autonome de Yamoussoukro,Sample1,20,3921.624023
Autonome de Yamoussoukro,Sample1,50,5934.279297
Autonome de Yamoussoukro,Sample1,75,6854.420898
Autonome de Yamoussoukro,Sample1,100,7844.504883
Autonome de Yamoussoukro,Sample1,200,9110.120117
Autonome de Yamoussoukro,Sample1,250,10084.024414
Autonome de Yamoussoukro,Sample1,500,13414.279297
Autonome de Yamoussoukro,Sample1,750,14132.842773
Autonome de Yamoussoukro,Sample1,1000,20877.046875
Bas-Sassandra,Sample1,2,1052.945435
Bas-Sassandra,Sample1,5,13793.432617
Bas-Sassandra,Sample1,10,48802.105469
Bas-Sassandra,Sample1,15,145975.234375
Bas-Sassandra,Sample1,20,151319.046875
Bas-Sassandra,Sample1,50,181119.484375
Bas-Sassandra,Sample1,75,196893.28125
Bas-Sassandra,Sample1,100,209905.453125
Bas-Sassandra,Sample1,200,302812.0
Bas-Sassandra,Sample1,250,308269.5625
Bas-Sassandra,Sample1,500,331116.25
Bas-Sassandra,Sample1,750,333693.125
Bas-Sassandra,Sample1,1000,338172.6875
Comoé,Sample1,2,467.975983
Comoé,Sample1,5,18798.146484
Comoé,Sample1,10,49329.167969
Comoé,Sample1,15,64721.820312
Comoé,Sample1,20,73456.4375
Comoé,Sample1,50,99138.492188
Comoé,Sample1,75,109691.070312
Comoé,Sample1,100,115130.125
Comoé,Sample1,200,132574.765625
Comoé,Sample1,250,144433.234375
Comoé,Sample1,500,155978.921875
Comoé,Sample1,750,171826.796875
Comoé,Sample1,1000,187853.671875
Denguélé,Sample1,2,9.486
Denguélé,Sample1,5,838.85907
Denguélé,Sample1,10,1749.513916
Denguélé,Sample1,15,3124.058594
Denguélé,Sample1,20,3696.382324
Denguélé,Sample1,50,4335.106934
Denguélé,Sample1,75,4631.278809
