countrycode,sidx,return_period,loss
CI,Sample1,2,7214.017578
CI,Sample1,5,73583.523438
CI,Sample1,10,144718.828125
CI,Sample1,15,162069.078125
CI,Sample1,20,182898.65625
CI,Sample1,50,292627.0
CI,Sample1,75,312023.84375
CI,Sample1,100,318644.6875
CI,Sample1,200,335450.1875
CI,Sample1,250,340812.84375
CI,Sample1,500,358633.0625
CI,Sample1,750,368540.46875
CI,Sample1,1000,374480.25
