countrycode,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
MW,2_sample_mean,10525974,1785,1785,1,1,2220597.25,,7108141.0
MW,1_analytic_mean,10526166,1786,1786,1,1,50704.98,0.0,101545.34
MW,2_sample_mean,10526166,1786,1786,1,1,50704.98,,101545.34
MW,1_analytic_mean,10526252,1787,1787,1,1,14271334.0,0.0,33882400.0
MW,2_sample_mean,10526252,1787,1787,1,1,14271334.0,,33882400.0
MW,1_analytic_mean,10526387,1789,1789,1,1,1304654.88,0.0,3587940.0
MW,2_sample_mean,10526387,1789,1789,1,1,1304654.88,,3587940.0
MW,1_analytic_mean,10526462,1790,1790,1,1,4805070.5,0.0,11136215.0
MW,2_sample_mean,10526462,1790,1790,1,1,4805070.5,,11136215.0
MW,1_analytic_mean,10526473,1790,1790,1,1,94030.98,0.0,338484.41
MW,2_sample_mean,10526473,1790,1790,1,1,94030.98,,338484.41
MW,1_analytic_mean,10526525,1791,1791,1,1,7514.36,0.0,33848.45
MW,2_sample_mean,10526525,1791,1791,1,1,7514.36,,33848.45
MW,1_analytic_mean,10526531,1791,1791,1,1,657066.19,0.0,1726272.62
MW,2_sample_mean,10526531,1791,1791,1,1,657066.19,,1726272.62
MW,1_analytic_mean,10526703,1793,1793,1,1,2475809.75,0.0,8360517.0
MW,2_sample_mean,10526703,1793,1793,1,1,2475809.75,,8360517.0
MW,1_analytic_mean,10526766,1793,1793,1,1,39061.11,0.0,101545.34
MW,2_sample_mean,10526766,1793,1793,1,1,39061.11,,101545.34
MW,1_analytic_mean,10526779,1794,1794,1,1,11532800.0,0.0,24912684.0
MW,2_sample_mean,10526779,1794,1794,1,1,11532800.0,,24912684.0
MW,1_analytic_mean,10526833,1794,1794,1,1,15028.71,0.0,67696.9
MW,2_sample_mean,10526833,1794,1794,1,1,15028.71,,67696.9
MW,1_analytic_mean,10526964,1796,1796,1,1,7514.36,0.0,33848.45
MW,2_sample_mean,10526964,1796,1796,1,1,7514.36,,33848.45
MW,1_analytic_mean,10526973,1796,1796,1,1,7370993.0,0.0,16687615.0
MW,2_sample_mean,10526973,1796,1796,1,1,7370993.0,,16687615.0
MW,1_analytic_mean,10527097,1798,1798,1,1,469816.38,0.0,1286242.12
MW,2_sample_mean,10527097,1798,1798,1,1,469816.38,,1286242.12
MW,1_analytic_mean,10527108,1798,1798,1,1,1265593.88,0.0,3080212.5
MW,2_sample_mean,10527108,1798,1798,1,1,1265593.88,,3080212.5
MW,1_analytic_mean,10527119,1798,1798,1,1,4859631.5,0.0,9071365.0
MW,2_sample_mean,10527119,1798,1798,1,1,4859631.5,,9071365.0
MW,1_analytic_mean,10527223,1798,1798,1,1,7514.36,0.0,33848.45
MW,2_sample_mean,10527223,1798,1798,1,1,7514.36,,33848.45
MW,1_analytic_mean,10527247,1799,1799,1,1,15434.89,0.0,33848.45
MW,2_sample_mean,10527247,1799,1799,1,1,15434.89,,33848.45
MW,1_analytic_mean,10527252,1799,1799,1,1,15028.71,0.0,67696.9
MW,2_sample_mean,10527252,1799,1799,1,1,15028.71,,67696.9
MW,1_analytic_mean,10527383,1800,1800,1,1,9141022.0,0.0,24269572.0
MW,2_sample_mean,10527383,1800,1800,1,1,9141022.0,,24269572.0
MW,1_analytic_mean,10527388,1800,1800,1,1,1006381.56,0.0,2674030.5
MW,2_sample_mean,10527388,1800,1800,1,1,1006381.56,,2674030.5
MW,1_analytic_mean,10527399,1800,1800,1,1,38451.84,0.0,101545.34
MW,2_sample_mean,10527399,1800,1800,1,1,38451.84,,101545.34
MW,1_analytic_mean,10527405,1800,1800,1,1,2831967.5,0.0,8225125.0
MW,2_sample_mean,10527405,1800,1800,1,1,2831967.5,,8225125.0
MW,1_analytic_mean,10527415,1800,1800,1,1,33569764.0,0.0,67256496.0
MW,2_sample_mean,10527415,1800,1800,1,1,33569764.0,,67256496.0
MW,1_analytic_mean,10527520,1801,1801,1,1,5924949.5,0.0,13945765.0
MW,2_sample_mean,10527520,1801,1801,1,1,5924949.5,,13945765.0
MW,1_analytic_mean,10527728,1804,1804,1,1,22339.98,0.0,67696.9
MW,2_sample_mean,10527728,1804,1804,1,1,22339.98,,67696.9
MW,1_analytic_mean,10527752,1804,1804,1,1,17698650.0,0.0,36657936.0
MW,2_sample_mean,10527752,1804,1804,1,1,17698650.0,,36657936.0
MW,1_analytic_mean,10527812,1804,1804,1,1,31546.76,0.0,67696.9
MW,2_sample_mean,10527812,1804,1804,1,1,31546.76,,67696.9
MW,1_analytic_mean,10527828,1805,1805,1,1,3025038.75,0.0,6160397.0
MW,2_sample_mean,10527828,1805,1805,1,1,3025038.75,,6160397.0
MW,1_analytic_mean,10527878,1805,1805,1,1,159696.98,0.0,338484.41
MW,2_sample_mean,10527878,1805,1805,1,1,159696.98,,338484.41
MW,1_analytic_mean,10528168,1809,1809,1,1,4805135.5,0.0,8969815.0
MW,2_sample_mean,10528168,1809,1809,1,1,4805135.5,,8969815.0
MW,1_analytic_mean,10528312,1810,1810,1,1,28432.7,0.0,33848.45
MW,2_sample_mean,10528312,1810,1810,1,1,28432.7,,33848.45
MW,1_analytic_mean,10528448,1811,1811,1,1,1873716.75,0.0,4772629.0
MW,2_sample_mean,10528448,1811,1811,1,1,1873716.75,,4772629.0
MW,1_analytic_mean,10528453,1811,1811,1,1,152927.28,0.0,507726.59
MW,2_sample_mean,10528453,1811,1811,1,1,152927.28,,507726.59
MW,1_analytic_mean,10528473,1811,1811,1,1,979980.25,0.0,2606333.5
MW,2_sample_mean,10528473,1811,1811,1,1,979980.25,,2606333.5
MW,1_analytic_mean,10528486,1811,1811,1,1,15998944.0,0.0,36014824.0
MW,2_sample_mean,10528486,1811,1811,1,1,15998944.0,,36014824.0
