countrycode,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
MW,1_analytic_mean,10523385,1759,1759,1,1,74730016.0,0.0,239314880.0
MW,2_sample_mean,10523385,1759,1759,1,1,74730016.0,,239314880.0
MW,1_analytic_mean,10523499,1760,1760,1,1,218796.31,0.0,1557030.12
MW,2_sample_mean,10523499,1760,1760,1,1,218796.31,,1557030.12
MW,1_analytic_mean,10523500,1760,1760,1,1,25589.43,0.0,236939.09
MW,2_sample_mean,10523500,1760,1760,1,1,25589.43,,236939.09
MW,1_analytic_mean,10523521,1761,1761,1,1,2360734.25,0.0,9680665.0
MW,2_sample_mean,10523521,1761,1761,1,1,2360734.25,,9680665.0
MW,1_analytic_mean,10523626,1762,1762,1,1,23916612.0,0.0,86477616.0
MW,2_sample_mean,10523626,1762,1762,1,1,23916612.0,,86477616.0
MW,1_analytic_mean,10523686,1762,1762,1,1,267064.03,0.0,2437091.0
MW,2_sample_mean,10523686,1762,1762,1,1,267064.03,,2437091.0
MW,1_analytic_mean,10523727,1763,1763,1,1,7514.36,0.0,33848.45
MW,2_sample_mean,10523727,1763,1763,1,1,7514.36,,33848.45
MW,1_analytic_mean,10523820,1764,1764,1,1,3660920.0,0.0,17804604.0
MW,2_sample_mean,10523820,1764,1764,1,1,3660920.0,,17804604.0
MW,1_analytic_mean,10523929,1765,1765,1,1,1755657.12,0.0,12084015.0
MW,2_sample_mean,10523929,1765,1765,1,1,1755657.12,,12084015.0
MW,1_analytic_mean,10523931,1765,1765,1,1,618614.44,0.0,3452546.0
MW,2_sample_mean,10523931,1765,1765,1,1,618614.44,,3452546.0
MW,1_analytic_mean,10523993,1765,1765,1,1,37138208.0,0.0,111011616.0
MW,2_sample_mean,10523993,1765,1765,1,1,37138208.0,,111011616.0
MW,1_analytic_mean,10524100,1766,1766,1,1,274307.66,0.0,2030909.12
MW,2_sample_mean,10524100,1766,1766,1,1,274307.66,,2030909.12
MW,1_analytic_mean,10524101,1766,1766,1,1,423443.72,0.0,3384849.0
MW,2_sample_mean,10524101,1766,1766,1,1,423443.72,,3384849.0
MW,1_analytic_mean,10524125,1767,1767,1,1,510434.44,0.0,1658575.62
MW,2_sample_mean,10524125,1767,1767,1,1,510434.44,,1658575.62
MW,1_analytic_mean,10524232,1768,1768,1,1,2508383.5,0.0,16653765.0
MW,2_sample_mean,10524232,1768,1768,1,1,2508383.5,,16653765.0
MW,1_analytic_mean,10524240,1768,1768,1,1,1588712.12,0.0,5720373.0
MW,2_sample_mean,10524240,1768,1768,1,1,1588712.12,,5720373.0
MW,1_analytic_mean,10524336,1769,1769,1,1,5089042.0,0.0,21663276.0
MW,2_sample_mean,10524336,1769,1769,1,1,5089042.0,,21663276.0
MW,1_analytic_mean,10524432,1770,1770,1,1,14622.53,0.0,135393.78
MW,2_sample_mean,10524432,1770,1770,1,1,14622.53,,135393.78
MW,1_analytic_mean,10524434,1770,1770,1,1,7311.27,0.0,67696.9
MW,2_sample_mean,10524434,1770,1770,1,1,7311.27,,67696.9
MW,1_analytic_mean,10524438,1770,1770,1,1,62755.03,0.0,440029.72
MW,2_sample_mean,10524438,1770,1770,1,1,62755.03,,440029.72
MW,1_analytic_mean,10524443,1770,1770,1,1,338145.72,0.0,2674030.5
MW,2_sample_mean,10524443,1770,1770,1,1,338145.72,,2674030.5
MW,1_analytic_mean,10524510,1770,1770,1,1,57729916.0,0.0,174920768.0
MW,2_sample_mean,10524510,1770,1770,1,1,57729916.0,,174920768.0
MW,1_analytic_mean,10524633,1771,1771,1,1,200518.17,0.0,1455484.62
MW,2_sample_mean,10524633,1771,1771,1,1,200518.17,,1455484.62
MW,1_analytic_mean,10524636,1771,1771,1,1,21933.8,0.0,203090.66
MW,2_sample_mean,10524636,1771,1771,1,1,21933.8,,203090.66
MW,1_analytic_mean,10524655,1772,1772,1,1,36962.51,0.0,270787.53
MW,2_sample_mean,10524655,1772,1772,1,1,36962.51,,270787.53
MW,1_analytic_mean,10524782,1773,1773,1,1,32088.33,0.0,67696.9
MW,2_sample_mean,10524782,1773,1773,1,1,32088.33,,67696.9
MW,1_analytic_mean,10524838,1773,1773,1,1,7311.27,0.0,67696.9
MW,2_sample_mean,10524838,1773,1773,1,1,7311.27,,67696.9
MW,1_analytic_mean,10524947,1775,1775,1,1,482407.72,0.0,2470939.5
MW,2_sample_mean,10524947,1775,1775,1,1,482407.72,,2470939.5
MW,1_analytic_mean,10524950,1775,1775,1,1,4988466.5,0.0,16687615.0
MW,2_sample_mean,10524950,1775,1775,1,1,4988466.5,,16687615.0
MW,1_analytic_mean,10524959,1775,1775,1,1,743381.19,0.0,3147909.5
MW,2_sample_mean,10524959,1775,1775,1,1,743381.19,,3147909.5
MW,1_analytic_mean,10525013,1776,1776,1,1,408414.94,0.0,3317152.0
MW,2_sample_mean,10525013,1776,1776,1,1,408414.94,,3317152.0
MW,1_analytic_mean,10525018,1776,1776,1,1,381065.66,0.0,1692424.12
MW,2_sample_mean,10525018,1776,1776,1,1,381065.66,,1692424.12
MW,1_analytic_mean,10525098,1777,1777,1,1,21030266.0,0.0,63804032.0
MW,2_sample_mean,10525098,1777,1777,1,1,21030266.0,,63804032.0
MW,1_analytic_mean,10525168,1777,1777,1,1,42716.74,0.0,135393.78
MW,2_sample_mean,10525168,1777,1777,1,1,42716.74,,135393.78
MW,1_analytic_mean,10525178,1778,1778,1,1,23766634.0,0.0,82958256.0
MW,2_sample_mean,10525178,1778,1778,1,1,23766634.0,,82958256.0
MW,1_analytic_mean,10525223,1778,1778,1,1,189145.12,0.0,643120.56
MW,2_sample_mean,10525223,1778,1778,1,1,189145.12,,643120.56
MW,1_analytic_mean,10525484,1781,1781,1,1,7311.27,0.0,67696.9
MW,2_sample_mean,10525484,1781,1781,1,1,7311.27,,67696.9
MW,1_analytic_mean,10525496,1782,1782,1,1,395620.34,0.0,2674030.5
MW,2_sample_mean,10525496,1782,1782,1,1,395620.34,,2674030.5
MW,1_analytic_mean,10525500,1782,1782,1,1,3655.63,0.0,33848.45
