band,depth_m,depth_range
194,18.6,18.6< d <=18.8
195,18.8,18.8< d <=19
196,19,19< d <=19.2
197,19.2,19.2< d <=19.4
198,19.4,19.4< d <=19.6
199,19.6,19.6< d <=19.8
200,19.8,19.8< d <=20
201,20,20< d <=21
202,21,21< d <=22
203,22,22< d <=23
204,23,23< d <=24
205,24,24< d <=25
206,25,25< d <=26
207,26,26< d <=27
208,27,27< d <=28
209,28,28< d <=29
210,29,29< d <=30
211,30,30 < d
