geogname1,type,loss,standard_deviation,exposure_value
Maritime,1_analytic_mean,5869.886498,20569.440112,312281.65625
Savanes,1_analytic_mean,3566.207057,7846.434077,99947.734375
Plateaux,1_analytic_mean,2957.6697289999997,5563.206531,57111.94140599999
Kara,1_analytic_mean,1580.378841,3350.64689,24968.373047
Centrale,1_analytic_mean,974.8416599999999,2559.050132,36605.324219
Maritime,2_sample_mean,5869.886498,20569.440112,312281.65625
Savanes,2_sample_mean,3566.207057,7846.434077,99947.734375
Plateaux,2_sample_mean,2957.6697289999997,5563.206531,57111.94140599999
Kara,2_sample_mean,1580.378841,3350.64689,24968.373047
Centrale,2_sample_mean,974.8416599999999,2559.050132,36605.324219
