geogname1,type,loss,standard_deviation,exposure_value
Savanes,1_analytic_mean,698.983866,2302.813249,19889.076172
Maritime,1_analytic_mean,644.5281150000001,2201.566604,43401.265625
Plateaux,1_analytic_mean,477.95042699999993,1149.858985,11720.032227
Kara,1_analytic_mean,278.210279,668.315426,4200.112305
Centrale,1_analytic_mean,167.931587,546.361244,5725.428223
Savanes,2_sample_mean,698.983866,2302.813249,19889.076172
Maritime,2_sample_mean,644.5281150000001,2201.566604,43401.265625
Plateaux,2_sample_mean,477.95042699999993,1149.858985,11720.032227
Kara,2_sample_mean,278.210279,668.315426,4200.112305
Centrale,2_sample_mean,167.931587,546.361244,5725.428223
