geogname1,sidx,return_period,loss
Centrale,Sample1,2,0.0
Centrale,Sample1,5,55.967999
Centrale,Sample1,10,1450.0783689999996
Centrale,Sample1,20,3537.397705
Centrale,Sample1,25,4319.4370119999985
Centrale,Sample1,50,5553.526367
Centrale,Sample1,75,6039.722168
Centrale,Sample1,100,6424.339355
Centrale,Sample1,150,6927.993164
Centrale,Sample1,200,7355.444336
Centrale,Sample1,250,7535.157227
Centrale,Sample1,300,8093.104004000002
Centrale,Sample1,400,8552.428711
Centrale,Sample1,500,9783.429688
Centrale,Sample1,600,10121.796875
Centrale,Sample1,700,10231.919922
Centrale,Sample1,800,10346.192383
Centrale,Sample1,900,10745.275391
Centrale,Sample1,1000,11836.700195
Centrale,Sample1,1500,13836.28125
Kara,Sample1,2,0.0
Kara,Sample1,5,371.816254
Kara,Sample1,10,2177.122314
Kara,Sample1,20,4235.738281
Kara,Sample1,25,4619.894531
Kara,Sample1,50,5369.029785
Kara,Sample1,75,5760.282715
Kara,Sample1,100,6108.100586
Kara,Sample1,150,6577.738281
Kara,Sample1,200,6829.541504000002
Kara,Sample1,250,7015.000977
Kara,Sample1,300,7135.164062000002
Kara,Sample1,400,7632.487793000001
Kara,Sample1,500,8078.212401999999
Kara,Sample1,600,8704.319336
Kara,Sample1,700,8870.084961
Kara,Sample1,800,9145.49707
Kara,Sample1,900,9400.896484
Kara,Sample1,1000,9557.014648
Kara,Sample1,1500,9835.691406
Maritime,Sample1,2,0.0
Maritime,Sample1,5,1142.256226
Maritime,Sample1,10,4263.734375
Maritime,Sample1,20,8787.516602
Maritime,Sample1,25,10165.878906
Maritime,Sample1,50,15334.59668
Maritime,Sample1,75,21697.660156
Maritime,Sample1,100,28563.314452999995
Maritime,Sample1,150,44133.558594
Maritime,Sample1,200,58095.72265599999
Maritime,Sample1,250,74702.195312
Maritime,Sample1,300,78013.304688
Maritime,Sample1,400,93319.625
Maritime,Sample1,500,102843.34375
Maritime,Sample1,600,113981.859375
Maritime,Sample1,700,137788.890625
Maritime,Sample1,800,140655.0
Maritime,Sample1,900,140872.984375
Maritime,Sample1,1000,141075.5
Maritime,Sample1,1500,162634.171875
Plateaux,Sample1,2,2.544
Plateaux,Sample1,5,1589.999512
Plateaux,Sample1,10,4576.357422
Plateaux,Sample1,20,7174.275390999999
Plateaux,Sample1,25,7907.600098000001
Plateaux,Sample1,50,9655.595703
Plateaux,Sample1,75,11188.5625
Plateaux,Sample1,100,12172.179688
Plateaux,Sample1,150,13564.072266
Plateaux,Sample1,200,14996.967772999997
Plateaux,Sample1,250,15896.144531
Plateaux,Sample1,300,16173.404297
Plateaux,Sample1,400,17866.414062
Plateaux,Sample1,500,20495.328125
Plateaux,Sample1,600,21838.666016
Plateaux,Sample1,700,22055.757812
Plateaux,Sample1,800,22659.871094
Plateaux,Sample1,900,23223.419922
Plateaux,Sample1,1000,23500.296875
Plateaux,Sample1,1500,25047.955078
Savanes,Sample1,2,0.0
Savanes,Sample1,5,393.005646
Savanes,Sample1,10,4487.576172
Savanes,Sample1,20,9501.754883
Savanes,Sample1,25,12524.55957
Savanes,Sample1,50,18316.501953
Savanes,Sample1,75,20030.279297
Savanes,Sample1,100,21058.589844
Savanes,Sample1,150,21879.933594
Savanes,Sample1,200,23238.535156
Savanes,Sample1,250,24693.162109
Savanes,Sample1,300,30713.808594
Savanes,Sample1,400,36470.886719
Savanes,Sample1,500,36946.007812
Savanes,Sample1,600,37869.867188
Savanes,Sample1,700,38034.800781
Savanes,Sample1,800,38209.28125
Savanes,Sample1,900,38579.480469
Savanes,Sample1,1000,38668.640625
Savanes,Sample1,1500,40219.917969
