countrycode,sidx,return_period,loss
TG,Sample1,2,164.352997
TG,Sample1,5,4268.558594
TG,Sample1,10,8285.728516
TG,Sample1,20,10205.416992
TG,Sample1,25,10862.777344
TG,Sample1,50,13666.22168
TG,Sample1,75,14897.855469
TG,Sample1,100,16046.893555
TG,Sample1,150,19184.542969
TG,Sample1,200,21448.304688
TG,Sample1,250,22410.210938
TG,Sample1,300,22872.091797
TG,Sample1,400,23364.640625
TG,Sample1,500,24486.5625
TG,Sample1,600,27719.083984
TG,Sample1,700,29008.849609
TG,Sample1,800,29920.824219
TG,Sample1,900,33992.410156
TG,Sample1,1000,37192.855469
TG,Sample1,1500,47176.078125
