countrycode,sidx,return_period,loss
TG,Sample1,2,6296.272949
TG,Sample1,5,24138.523438
TG,Sample1,10,36799.578125
TG,Sample1,20,49590.394531
TG,Sample1,25,56037.95703099999
TG,Sample1,50,84111.007812
TG,Sample1,75,95796.671875
TG,Sample1,100,122116.69531199998
TG,Sample1,150,155982.28125
TG,Sample1,200,165559.03125
TG,Sample1,250,188712.5625
TG,Sample1,300,211870.65625
TG,Sample1,400,227309.859375
TG,Sample1,500,237109.875
TG,Sample1,600,283120.8125
TG,Sample1,700,287846.3125
TG,Sample1,800,294330.5
TG,Sample1,900,301936.34375
TG,Sample1,1000,305273.59375
TG,Sample1,1500,318256.28125
