geogname1,sidx,return_period,loss
0,Sample1,2,0.0
0,Sample1,5,0.0
0,Sample1,10,2.9172
0,Sample1,20,13.104000000000001
0,Sample1,25,13.104000000000001
0,Sample1,50,107.936401
0,Sample1,75,107.936401
0,Sample1,100,111.212402
0,Sample1,150,145.860001
0,Sample1,200,145.860001
0,Sample1,250,145.860001
0,Sample1,300,164.858917
0,Sample1,400,196.887604
0,Sample1,500,196.887604
0,Sample1,600,288.802795
0,Sample1,700,290.844849
0,Sample1,800,351.230896
0,Sample1,900,408.270721
0,Sample1,1000,409.843201
0,Sample1,1500,438.594025
Ahafo,Sample1,2,0.0
Ahafo,Sample1,5,1362.816284
Ahafo,Sample1,10,4001.604004
Ahafo,Sample1,20,5999.776855
Ahafo,Sample1,25,6666.636719
Ahafo,Sample1,50,10922.166016
Ahafo,Sample1,75,12800.301758
Ahafo,Sample1,100,13783.841797
Ahafo,Sample1,150,15103.441406
Ahafo,Sample1,200,15949.255859
Ahafo,Sample1,250,16811.382812
Ahafo,Sample1,300,17259.296875
Ahafo,Sample1,400,18160.082031
Ahafo,Sample1,500,18995.839844
Ahafo,Sample1,600,19636.322266
Ahafo,Sample1,700,20218.166016
Ahafo,Sample1,800,20510.339844
Ahafo,Sample1,900,21734.177734
Ahafo,Sample1,1000,22913.894531
Ahafo,Sample1,1500,25088.15625
Ashanti,Sample1,2,304.66803
Ashanti,Sample1,5,14534.601562
Ashanti,Sample1,10,51418.863281
Ashanti,Sample1,20,80524.351562
Ashanti,Sample1,25,90393.445312
Ashanti,Sample1,50,126087.609375
Ashanti,Sample1,75,146164.3125
Ashanti,Sample1,100,165549.8125
Ashanti,Sample1,150,200739.4375
Ashanti,Sample1,200,211847.171875
Ashanti,Sample1,250,226759.296875
Ashanti,Sample1,300,243762.328125
Ashanti,Sample1,400,291775.46875
Ashanti,Sample1,500,316811.375
Ashanti,Sample1,600,319809.28125
Ashanti,Sample1,700,322244.5
Ashanti,Sample1,800,326482.34375
Ashanti,Sample1,900,332153.6875
Ashanti,Sample1,1000,342584.90625
Ashanti,Sample1,1500,493381.9375
Bono,Sample1,2,0.0
Bono,Sample1,5,3595.691162
Bono,Sample1,10,5320.34082
Bono,Sample1,20,7969.333984000001
Bono,Sample1,25,8939.294922
Bono,Sample1,50,13106.705078
Bono,Sample1,75,14501.743163999998
Bono,Sample1,100,15448.611328
Bono,Sample1,150,17368.240234
Bono,Sample1,200,18892.410156
Bono,Sample1,250,19652.695312
Bono,Sample1,300,20011.789062
Bono,Sample1,400,21324.787109
Bono,Sample1,500,22122.691406
Bono,Sample1,600,22706.222656
Bono,Sample1,700,22842.529297
Bono,Sample1,800,23725.814453
Bono,Sample1,900,24510.191406
Bono,Sample1,1000,24632.550781
Bono,Sample1,1500,25741.863281
Bono East,Sample1,2,530.712097
Bono East,Sample1,5,3634.025391
Bono East,Sample1,10,8275.416016
Bono East,Sample1,20,12178.223633
Bono East,Sample1,25,13253.133789
Bono East,Sample1,50,17611.007812
Bono East,Sample1,75,19728.710938
Bono East,Sample1,100,21070.144531
Bono East,Sample1,150,22910.65625
Bono East,Sample1,200,23811.587891
Bono East,Sample1,250,24339.082031
Bono East,Sample1,300,24738.21875
Bono East,Sample1,400,25291.697266
Bono East,Sample1,500,25880.582031
Bono East,Sample1,600,26377.552734
Bono East,Sample1,700,26495.216797
Bono East,Sample1,800,26600.361328
Bono East,Sample1,900,26944.09375
Bono East,Sample1,1000,27483.435547000005
Bono East,Sample1,1500,28888.132812
Central,Sample1,2,0.0
Central,Sample1,5,14565.643555
Central,Sample1,10,25234.976562
Central,Sample1,20,31075.203125
Central,Sample1,25,33856.191406
Central,Sample1,50,44191.859375
Central,Sample1,75,50173.042969
Central,Sample1,100,58127.242188
Central,Sample1,150,62959.554688
Central,Sample1,200,74372.023438
Central,Sample1,250,78218.585938
Central,Sample1,300,87542.507812
Central,Sample1,400,94731.265625
Central,Sample1,500,99930.234375
Central,Sample1,600,100293.976562
Central,Sample1,700,100899.398438
Central,Sample1,800,108349.65625
Central,Sample1,900,113243.02343800002
Central,Sample1,1000,114249.44531199998
Central,Sample1,1500,120339.296875
Centrale,Sample1,2,0.0
Centrale,Sample1,5,0.0
Centrale,Sample1,10,0.0
Centrale,Sample1,20,0.0
Centrale,Sample1,25,0.0
Centrale,Sample1,50,0.0
Centrale,Sample1,75,0.0
Centrale,Sample1,100,0.0
Centrale,Sample1,150,0.0
Centrale,Sample1,200,0.0
Centrale,Sample1,250,0.0
Centrale,Sample1,300,0.0
Centrale,Sample1,400,0.0
Centrale,Sample1,500,0.0
Centrale,Sample1,600,0.0
Centrale,Sample1,700,0.0
Centrale,Sample1,800,0.0
Centrale,Sample1,900,0.0
Centrale,Sample1,1000,3.2760000000000002
Centrale,Sample1,1500,3.2760000000000002
Centre-est,Sample1,2,0.0
Centre-est,Sample1,5,0.0
Centre-est,Sample1,10,45.864002
Centre-est,Sample1,20,184.626007
Centre-est,Sample1,25,184.626007
Centre-est,Sample1,50,187.902008
Centre-est,Sample1,75,201.006012
Centre-est,Sample1,100,214.110016
Centre-est,Sample1,150,250.146027
Centre-est,Sample1,200,302.5620120000001
Centre-est,Sample1,250,369.252014
Centre-est,Sample1,300,369.252014
Centre-est,Sample1,400,369.252014
Centre-est,Sample1,500,369.252014
Centre-est,Sample1,600,369.252014
Centre-est,Sample1,700,369.252014
Centre-est,Sample1,800,372.528015
Centre-est,Sample1,900,372.528015
Centre-est,Sample1,1000,372.528015
Centre-est,Sample1,1500,385.632019
Centre-ouest,Sample1,2,0.0
Centre-ouest,Sample1,5,0.0
Centre-ouest,Sample1,10,13.104000000000001
Centre-ouest,Sample1,20,75.348
Centre-ouest,Sample1,25,75.348
Centre-ouest,Sample1,50,75.348
Centre-ouest,Sample1,75,78.623993
Centre-ouest,Sample1,100,104.832001
Centre-ouest,Sample1,150,146.306152
Centre-ouest,Sample1,200,212.940002
Centre-ouest,Sample1,250,242.423996
Centre-ouest,Sample1,300,301.326477
Centre-ouest,Sample1,400,324.324005
Centre-ouest,Sample1,500,353.808014
Centre-ouest,Sample1,600,379.884979
Centre-ouest,Sample1,700,400.982422
Centre-ouest,Sample1,800,418.934906
Centre-ouest,Sample1,900,429.156036
Centre-ouest,Sample1,1000,455.363983
Centre-ouest,Sample1,1500,552.661255
Centre-sud,Sample1,2,0.0
Centre-sud,Sample1,5,0.0
Centre-sud,Sample1,10,402.948029
Centre-sud,Sample1,20,871.416199
Centre-sud,Sample1,25,874.6922
Centre-sud,Sample1,50,1195.740234
Centre-sud,Sample1,75,1490.580322
Centre-sud,Sample1,100,1624.896362
Centre-sud,Sample1,150,1758.8536379999996
Centre-sud,Sample1,200,1844.388428
Centre-sud,Sample1,250,1864.044434
Centre-sud,Sample1,300,1879.245117
Centre-sud,Sample1,400,2037.672485
Centre-sud,Sample1,500,2096.639893
Centre-sud,Sample1,600,2104.829102
Centre-sud,Sample1,700,2172.186523
