geogname1,sidx,return_period,loss
Centre-ouest,Sample1,800,98.280006
Centre-ouest,Sample1,900,98.280006
Centre-ouest,Sample1,1000,101.556007
Centre-ouest,Sample1,1500,135.298813
Centre-sud,Sample1,2,0.0
Centre-sud,Sample1,5,0.0
Centre-sud,Sample1,10,3.2760000000000002
Centre-sud,Sample1,20,242.424011
Centre-sud,Sample1,25,262.080017
Centre-sud,Sample1,50,304.66803
Centre-sud,Sample1,75,383.292053
Centre-sud,Sample1,100,386.568054
Centre-sud,Sample1,150,485.929138
Centre-sud,Sample1,200,520.884033
Centre-sud,Sample1,250,550.368042
Centre-sud,Sample1,300,553.644043
Centre-sud,Sample1,400,632.268066
Centre-sud,Sample1,500,651.924072
Centre-sud,Sample1,600,664.765991
Centre-sud,Sample1,700,678.132141
Centre-sud,Sample1,800,685.739929
Centre-sud,Sample1,900,708.011108
Centre-sud,Sample1,1000,730.5481570000002
Centre-sud,Sample1,1500,892.7102050000002
Eastern,Sample1,2,6.5520000000000005
Eastern,Sample1,5,2097.311035
Eastern,Sample1,10,13038.37207
Eastern,Sample1,20,16417.867188
Eastern,Sample1,25,17819.289062
Eastern,Sample1,50,25134.320312
Eastern,Sample1,75,28138.199219
Eastern,Sample1,100,32662.933594
Eastern,Sample1,150,39291.3125
Eastern,Sample1,200,47336.34375
Eastern,Sample1,250,56154.78125
Eastern,Sample1,300,63073.546875
Eastern,Sample1,400,71331.070312
Eastern,Sample1,500,88562.398438
Eastern,Sample1,600,93849.804688
Eastern,Sample1,700,97754.390625
Eastern,Sample1,800,100302.875
Eastern,Sample1,900,105045.648438
Eastern,Sample1,1000,105649.671875
Eastern,Sample1,1500,112591.984375
Greater Accra,Sample1,2,0.0
Greater Accra,Sample1,5,16203.083984
Greater Accra,Sample1,10,31020.380859
Greater Accra,Sample1,20,89478.945312
Greater Accra,Sample1,25,114592.41406199998
Greater Accra,Sample1,50,172838.921875
Greater Accra,Sample1,75,208273.15625
Greater Accra,Sample1,100,232244.84375
Greater Accra,Sample1,150,279179.78125
Greater Accra,Sample1,200,314491.625
Greater Accra,Sample1,250,338049.78125
Greater Accra,Sample1,300,346202.75
Greater Accra,Sample1,400,394718.90625
Greater Accra,Sample1,500,456245.9375
Greater Accra,Sample1,600,481591.71875
Greater Accra,Sample1,700,511584.375
Greater Accra,Sample1,800,518891.46875
Greater Accra,Sample1,900,524340.5
Greater Accra,Sample1,1000,529934.5625
Greater Accra,Sample1,1500,587419.875
Kara,Sample1,2,0.0
Kara,Sample1,5,0.0
Kara,Sample1,10,36.036003
Kara,Sample1,20,373.463989
Kara,Sample1,25,383.291992
Kara,Sample1,50,383.291992
Kara,Sample1,75,383.291992
Kara,Sample1,100,393.119995
Kara,Sample1,150,407.305084
Kara,Sample1,200,416.052002
Kara,Sample1,250,416.052002
Kara,Sample1,300,419.328003
Kara,Sample1,400,419.328003
Kara,Sample1,500,419.328003
Kara,Sample1,600,419.328003
Kara,Sample1,700,419.328003
Kara,Sample1,800,419.328003
Kara,Sample1,900,419.328003
Kara,Sample1,1000,419.328003
Kara,Sample1,1500,419.328003
Keta Lagoon (Volta Region),Sample1,2,0.0
Keta Lagoon (Volta Region),Sample1,5,0.0
Keta Lagoon (Volta Region),Sample1,10,0.0
Keta Lagoon (Volta Region),Sample1,20,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,25,6.5520000000000005
