countrycode,sidx,return_period,loss
GH,Sample1,2,71909.890625
GH,Sample1,5,209950.5
GH,Sample1,10,309594.34375
GH,Sample1,20,385594.625
GH,Sample1,25,415831.875
GH,Sample1,50,523652.03125
GH,Sample1,75,624984.1875
GH,Sample1,100,670405.8125
GH,Sample1,150,782880.125
GH,Sample1,200,890737.4375
GH,Sample1,250,934265.0625
GH,Sample1,300,967624.5
GH,Sample1,400,1028745.0
GH,Sample1,500,1205554.0
GH,Sample1,600,1242786.0
GH,Sample1,700,1310257.75
GH,Sample1,800,1330958.375
GH,Sample1,900,1423838.625
GH,Sample1,1000,1461753.75
GH,Sample1,1500,1505517.5
