countrycode,sidx,return_period,loss
GH,Sample1,2,11128.246094
GH,Sample1,5,71735.796875
GH,Sample1,10,118205.328125
GH,Sample1,20,151357.5625
GH,Sample1,25,162723.0625
GH,Sample1,50,188015.03125
GH,Sample1,75,208855.5625
GH,Sample1,100,234614.25
GH,Sample1,150,274903.71875
GH,Sample1,200,307408.46875
GH,Sample1,250,326396.53125
GH,Sample1,300,337690.8125
GH,Sample1,400,354799.125
GH,Sample1,500,376935.09375
GH,Sample1,600,395068.375
GH,Sample1,700,404919.25
GH,Sample1,800,419989.53125
GH,Sample1,900,441869.03125
GH,Sample1,1000,466256.0625
GH,Sample1,1500,519316.90625
