geogname1,sidx,return_period,loss
0,Sample1,2,0.0
0,Sample1,5,0.0
0,Sample1,10,0.0
0,Sample1,20,0.0
0,Sample1,25,0.0
0,Sample1,50,0.0
0,Sample1,75,0.0
0,Sample1,100,0.0
0,Sample1,150,0.0
0,Sample1,200,0.0
0,Sample1,250,0.0
0,Sample1,300,0.0
0,Sample1,400,2.9172
0,Sample1,500,2.9172
0,Sample1,600,2.9172
0,Sample1,700,3.16836
0,Sample1,800,3.2760000000000002
0,Sample1,900,3.2760000000000002
0,Sample1,1000,3.2760000000000002
0,Sample1,1500,34.674129
Ahafo,Sample1,2,0.0
Ahafo,Sample1,5,117.936012
Ahafo,Sample1,10,648.648071
Ahafo,Sample1,20,1544.5251460000004
Ahafo,Sample1,25,1654.3803710000002
Ahafo,Sample1,50,2230.954102
Ahafo,Sample1,75,2868.672363
Ahafo,Sample1,100,3165.115967
Ahafo,Sample1,150,3456.171631
Ahafo,Sample1,200,3780.494873
Ahafo,Sample1,250,4022.917725
Ahafo,Sample1,300,4277.2661130000015
Ahafo,Sample1,400,4435.691406
Ahafo,Sample1,500,4612.5947270000015
Ahafo,Sample1,600,4926.1708979999985
Ahafo,Sample1,700,5085.646973
Ahafo,Sample1,800,5352.810547
Ahafo,Sample1,900,5736.084961
Ahafo,Sample1,1000,5791.946777
Ahafo,Sample1,1500,6374.8745119999985
Ashanti,Sample1,2,0.0
Ashanti,Sample1,5,554.860779
Ashanti,Sample1,10,3734.633789
Ashanti,Sample1,20,10321.980469
Ashanti,Sample1,25,12440.766602
Ashanti,Sample1,50,22129.835938
Ashanti,Sample1,75,27376.8125
Ashanti,Sample1,100,33644.203125
Ashanti,Sample1,150,46925.800781
Ashanti,Sample1,200,55496.09375
Ashanti,Sample1,250,63377.96484400001
Ashanti,Sample1,300,71640.0
Ashanti,Sample1,400,79968.695312
Ashanti,Sample1,500,88510.148438
Ashanti,Sample1,600,98339.789062
Ashanti,Sample1,700,100337.085938
Ashanti,Sample1,800,111894.421875
Ashanti,Sample1,900,121973.34375
Ashanti,Sample1,1000,128274.515625
Ashanti,Sample1,1500,145893.234375
Bono,Sample1,2,0.0
Bono,Sample1,5,281.377228
Bono,Sample1,10,542.833313
Bono,Sample1,20,811.917725
Bono,Sample1,25,979.492737
Bono,Sample1,50,2102.225098
Bono,Sample1,75,2427.119385
Bono,Sample1,100,2585.279053
Bono,Sample1,150,2860.456299
Bono,Sample1,200,2949.832031
Bono,Sample1,250,3073.6489260000008
Bono,Sample1,300,3205.470215
Bono,Sample1,400,3458.582764
Bono,Sample1,500,3621.999756
Bono,Sample1,600,3671.410156
Bono,Sample1,700,3725.994141
Bono,Sample1,800,3919.85376
Bono,Sample1,900,3991.528809
Bono,Sample1,1000,4055.211426
Bono,Sample1,1500,4265.400390999999
Bono East,Sample1,2,0.0
Bono East,Sample1,5,366.194427
Bono East,Sample1,10,2617.520264
Bono East,Sample1,20,6205.940918
Bono East,Sample1,25,6327.15332
Bono East,Sample1,50,7563.896484000001
Bono East,Sample1,75,8157.932129000002
Bono East,Sample1,100,8402.541992
Bono East,Sample1,150,8640.880859
Bono East,Sample1,200,8795.672852
Bono East,Sample1,250,8910.323242
Bono East,Sample1,300,9019.600586
Bono East,Sample1,400,9231.375977
Bono East,Sample1,500,9520.432617
Bono East,Sample1,600,9651.731445
Bono East,Sample1,700,9685.097656
Bono East,Sample1,800,9732.477539
Bono East,Sample1,900,9757.229492
Bono East,Sample1,1000,9831.236328
Bono East,Sample1,1500,9952.498047
Central,Sample1,2,0.0
Central,Sample1,5,1214.0546880000004
Central,Sample1,10,6312.837890999999
Central,Sample1,20,18932.005859
Central,Sample1,25,20140.857422
Central,Sample1,50,21687.101562
Central,Sample1,75,22656.537109
Central,Sample1,100,23376.166016
Central,Sample1,150,25577.574219
Central,Sample1,200,27671.091797000005
Central,Sample1,250,28952.519531
Central,Sample1,300,30735.376952999995
Central,Sample1,400,32806.863281
Central,Sample1,500,35210.691406
Central,Sample1,600,37330.054688
Central,Sample1,700,37968.0
Central,Sample1,800,38610.242188
Central,Sample1,900,39148.300781
Central,Sample1,1000,40107.59375
Central,Sample1,1500,42245.988281
Centre-est,Sample1,2,0.0
Centre-est,Sample1,5,0.0
Centre-est,Sample1,10,22.932003
Centre-est,Sample1,20,45.864002
Centre-est,Sample1,25,54.662407
Centre-est,Sample1,50,87.422409
Centre-est,Sample1,75,87.422409
Centre-est,Sample1,100,87.422409
Centre-est,Sample1,150,96.826393
Centre-est,Sample1,200,110.354416
Centre-est,Sample1,250,116.18882
Centre-est,Sample1,300,142.084808
Centre-est,Sample1,400,148.948822
Centre-est,Sample1,500,148.948822
Centre-est,Sample1,600,148.948822
Centre-est,Sample1,700,148.948822
Centre-est,Sample1,800,148.948822
Centre-est,Sample1,900,148.948822
Centre-est,Sample1,1000,148.948822
Centre-est,Sample1,1500,148.948822
Centre-ouest,Sample1,2,0.0
Centre-ouest,Sample1,5,0.0
Centre-ouest,Sample1,10,0.0
Centre-ouest,Sample1,20,0.0
Centre-ouest,Sample1,25,0.0
Centre-ouest,Sample1,50,0.0
Centre-ouest,Sample1,75,6.5520000000000005
Centre-ouest,Sample1,100,6.5520000000000005
Centre-ouest,Sample1,150,6.5520000000000005
Centre-ouest,Sample1,200,9.828
Centre-ouest,Sample1,250,9.828
Centre-ouest,Sample1,300,11.99016
Centre-ouest,Sample1,400,16.380001
Centre-ouest,Sample1,500,16.380001
Centre-ouest,Sample1,600,16.380001
Centre-ouest,Sample1,700,16.380001
Centre-ouest,Sample1,800,16.380001
Centre-ouest,Sample1,900,16.380001
Centre-ouest,Sample1,1000,16.380001
Centre-ouest,Sample1,1500,17.362801
Centre-sud,Sample1,2,0.0
Centre-sud,Sample1,5,0.0
Centre-sud,Sample1,10,0.0
Centre-sud,Sample1,20,16.380001
Centre-sud,Sample1,25,16.380001
Centre-sud,Sample1,50,29.484001
Centre-sud,Sample1,75,29.484001
Centre-sud,Sample1,100,29.484001
Centre-sud,Sample1,150,58.968002
Centre-sud,Sample1,200,62.244003
Centre-sud,Sample1,250,72.072006
Centre-sud,Sample1,300,72.072006
Centre-sud,Sample1,400,81.900002
Centre-sud,Sample1,500,91.728004
Centre-sud,Sample1,600,110.073608
Centre-sud,Sample1,700,160.524017
Centre-sud,Sample1,800,196.560013
Centre-sud,Sample1,900,202.325775
Centre-sud,Sample1,1000,203.112015
Centre-sud,Sample1,1500,212.940018
Eastern,Sample1,2,0.0
Eastern,Sample1,5,324.729645
Eastern,Sample1,10,9559.435547
Eastern,Sample1,20,11903.18457
Eastern,Sample1,25,12371.686523
Eastern,Sample1,50,13716.652344
Eastern,Sample1,75,14909.114258
Eastern,Sample1,100,15239.989258
Eastern,Sample1,150,18419.994141
Eastern,Sample1,200,18837.960938
Eastern,Sample1,250,19022.992188
Eastern,Sample1,300,20018.408203
Eastern,Sample1,400,23022.890625
Eastern,Sample1,500,30604.021484
