countrycode,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
GH,2_sample_mean,9335483,2082,2082,1,1,156979200.0,,640187968.0
GH,2_sample_mean,9289992,1721,1721,1,1,156970720.0,,643051584.0
GH,2_sample_mean,10014911,7397,7397,1,1,156677280.0,,315098176.0
GH,2_sample_mean,10023916,7469,7469,1,1,156653760.0,,300366400.0
GH,2_sample_mean,9228500,1240,1240,1,1,156593152.0,,327374656.0
GH,2_sample_mean,9957709,6955,6955,1,1,156514704.0,,338832704.0
GH,2_sample_mean,9982506,7147,7147,1,1,156386976.0,,368500864.0
GH,2_sample_mean,9244371,1365,1365,1,1,156349648.0,,431315520.0
GH,2_sample_mean,9386124,2480,2480,1,1,156342400.0,,607665472.0
GH,2_sample_mean,9627165,4367,4367,1,1,156323696.0,,414946880.0
GH,2_sample_mean,9800612,5730,5730,1,1,156182256.0,,269061376.0
GH,2_sample_mean,9798808,5715,5715,1,1,156127152.0,,630369856.0
GH,2_sample_mean,9101160,239,239,1,1,155752912.0,,303230912.0
GH,2_sample_mean,9863981,6224,6224,1,1,155714080.0,,285225408.0
GH,2_sample_mean,10115849,8186,8186,1,1,155622736.0,,586188352.0
GH,2_sample_mean,9606274,4202,4202,1,1,155534464.0,,326147008.0
GH,2_sample_mean,9858147,6179,6179,1,1,155486432.0,,312029056.0
GH,2_sample_mean,9956814,6947,6947,1,1,155297728.0,,544256832.0
GH,2_sample_mean,10132746,8317,8317,1,1,155273744.0,,547529536.0
GH,2_sample_mean,9669411,4700,4700,1,1,155271600.0,,331057600.0
GH,2_sample_mean,10217573,8988,8988,1,1,155162192.0,,563893056.0
GH,2_sample_mean,9216093,1141,1141,1,1,155145984.0,,607665472.0
GH,2_sample_mean,9426278,2795,2795,1,1,155092752.0,,329420736.0
GH,2_sample_mean,9615710,4277,4277,1,1,154964576.0,,531778048.0
GH,2_sample_mean,9226896,1228,1228,1,1,154963376.0,,291568256.0
GH,2_sample_mean,9242131,1348,1348,1,1,154847888.0,,632415296.0
GH,2_sample_mean,9612541,4252,4252,1,1,154783296.0,,626688064.0
GH,2_sample_mean,9845698,6080,6080,1,1,154714784.0,,343538688.0
GH,2_sample_mean,10329688,9868,9868,1,1,154625504.0,,630983488.0
GH,2_sample_mean,9192070,954,954,1,1,154398432.0,,342106432.0
GH,2_sample_mean,9332780,2060,2060,1,1,154182672.0,,297911104.0
GH,2_sample_mean,9313692,1909,1909,1,1,154110144.0,,323487104.0
GH,2_sample_mean,9321480,1971,1971,1,1,154085824.0,,565324864.0
GH,2_sample_mean,9421396,2759,2759,1,1,154014496.0,,301389440.0
GH,2_sample_mean,9201339,1027,1027,1,1,153981120.0,,296683456.0
GH,2_sample_mean,9257301,1465,1465,1,1,153837984.0,,300366400.0
GH,2_sample_mean,9373447,2381,2381,1,1,153748416.0,,551620416.0
GH,2_sample_mean,9825025,5918,5918,1,1,153695648.0,,586188352.0
GH,2_sample_mean,9180581,864,864,1,1,153599472.0,,360316544.0
GH,2_sample_mean,9323657,1988,1988,1,1,153593680.0,,534642560.0
GH,2_sample_mean,9781537,5582,5582,1,1,153503440.0,,628528960.0
GH,2_sample_mean,9987385,7184,7184,1,1,153456352.0,,627097152.0
GH,2_sample_mean,10063710,7779,7779,1,1,153438560.0,,334535936.0
GH,2_sample_mean,9344024,2148,2148,1,1,152774464.0,,621779008.0
GH,2_sample_mean,9400700,2595,2595,1,1,152644080.0,,545279552.0
GH,2_sample_mean,9197282,996,996,1,1,152631616.0,,305072384.0
GH,2_sample_mean,9629744,4387,4387,1,1,152565168.0,,334331328.0
GH,2_sample_mean,10084890,7940,7940,1,1,152400496.0,,541802304.0
GH,2_sample_mean,9898471,6495,6495,1,1,152393760.0,,294228160.0
GH,2_sample_mean,9206459,1066,1066,1,1,152379136.0,,568597568.0
GH,2_sample_mean,9378302,2420,2420,1,1,152372016.0,,343538688.0
GH,2_sample_mean,9709146,5011,5011,1,1,152094720.0,,284611584.0
GH,2_sample_mean,9342683,2137,2137,1,1,152089232.0,,281542464.0
GH,2_sample_mean,9296255,1770,1770,1,1,152066416.0,,318985728.0
GH,2_sample_mean,10027912,7499,7499,1,1,152050144.0,,332899072.0
GH,2_sample_mean,9442246,2917,2917,1,1,152045552.0,,627915328.0
GH,2_sample_mean,9631775,4403,4403,1,1,151925728.0,,286043840.0
GH,2_sample_mean,10080864,7909,7909,1,1,151908688.0,,256989504.0
GH,2_sample_mean,9451543,2990,2990,1,1,151868640.0,,265378432.0
GH,2_sample_mean,9659514,4623,4623,1,1,151842816.0,,638551616.0
GH,2_sample_mean,9378018,2418,2418,1,1,151835344.0,,293818944.0
GH,2_sample_mean,9651459,4558,4558,1,1,151802720.0,,689073984.0
