countrycode,sidx,return_period,loss
MZ,Sample1,1000.0,1038341.375
MZ,Sample1,750.0,1022177.0
MZ,Sample1,500.0,992237.4375
MZ,Sample1,250.0,909936.0
MZ,Sample1,200.0,880443.75
MZ,Sample1,100.0,810506.5
MZ,Sample1,75.0,774336.8125
MZ,Sample1,50.0,730584.125
MZ,Sample1,20.0,598192.0625
MZ,Sample1,15.0,543912.375
MZ,Sample1,10.0,461363.90625
MZ,Sample1,5.0,330916.1875
MZ,Sample1,2.0,90379.171875
