geogname1,sidx,return_period,loss
Cabo Delgado,Sample1,1000.0,59562.085938
Cabo Delgado,Sample1,750.0,53266.0625
Cabo Delgado,Sample1,500.0,47609.328125
Cabo Delgado,Sample1,250.0,40257.804688
Cabo Delgado,Sample1,200.0,38414.609375
Cabo Delgado,Sample1,100.0,33738.152344
Cabo Delgado,Sample1,75.0,31631.753906
Cabo Delgado,Sample1,50.0,29140.617188
Cabo Delgado,Sample1,20.0,19579.349609
Cabo Delgado,Sample1,15.0,15981.800781
Cabo Delgado,Sample1,10.0,11183.804688
Cabo Delgado,Sample1,5.0,5064.042969
Cabo Delgado,Sample1,2.0,382.53598
Cidade de Maputo,Sample1,1000.0,154972.453125
Cidade de Maputo,Sample1,750.0,128855.242188
Cidade de Maputo,Sample1,500.0,99558.742188
Cidade de Maputo,Sample1,250.0,77873.273438
Cidade de Maputo,Sample1,200.0,73054.351562
Cidade de Maputo,Sample1,100.0,59056.4375
Cidade de Maputo,Sample1,75.0,57785.632812
Cidade de Maputo,Sample1,50.0,49049.066406
Cidade de Maputo,Sample1,20.0,34604.683594
Cidade de Maputo,Sample1,15.0,23734.425781
Cidade de Maputo,Sample1,10.0,10867.108398
Cidade de Maputo,Sample1,5.0,0.0
Cidade de Maputo,Sample1,2.0,0.0
Gaza,Sample1,1000.0,282143.375
Gaza,Sample1,750.0,280054.5
Gaza,Sample1,500.0,276594.21875
Gaza,Sample1,250.0,270809.6875
Gaza,Sample1,200.0,267754.0
Gaza,Sample1,100.0,260024.0625
Gaza,Sample1,75.0,255555.984375
Gaza,Sample1,50.0,242997.921875
Gaza,Sample1,20.0,177068.46875
Gaza,Sample1,15.0,122526.351562
Gaza,Sample1,10.0,81356.414062
Gaza,Sample1,5.0,4412.319336
Gaza,Sample1,2.0,12.144
Inhambane,Sample1,1000.0,161180.328125
Inhambane,Sample1,750.0,155118.25
Inhambane,Sample1,500.0,149969.328125
Inhambane,Sample1,250.0,133529.109375
Inhambane,Sample1,200.0,128095.65625
Inhambane,Sample1,100.0,104037.804688
Inhambane,Sample1,75.0,95396.320312
Inhambane,Sample1,50.0,86059.429688
Inhambane,Sample1,20.0,58239.132812
Inhambane,Sample1,15.0,50173.601562
Inhambane,Sample1,10.0,37173.539062
Inhambane,Sample1,5.0,14075.37793
Inhambane,Sample1,2.0,58.695988
Manica,Sample1,1000.0,51345.558594
Manica,Sample1,750.0,50689.625
Manica,Sample1,500.0,45917.246094
Manica,Sample1,250.0,41357.035156
Manica,Sample1,200.0,40093.792969
Manica,Sample1,100.0,35115.664062
Manica,Sample1,75.0,32779.738281
Manica,Sample1,50.0,29533.662109
Manica,Sample1,20.0,17495.390625
